cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
70,0000BFEADBF5,FFFEDBDBF6B2,000005665DCC,FFFFFF0533DF,FFFFFFE8804E,000002F48A70,FFFFFB491418,FFFFFF81F6B6,FFFFFFFFE481,00000148AD6B,00000121898C,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
71,0000C13184F6,FFFED6DFAB13,000005855C2A,FFFFFF012DEF,FFFFFFE7A590,000002FF9598,FFFFFAD69932,FFFFFF805133,FFFFFFFFE076,000001474014,000001218C0D,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
72,0000C10531D4,FFFED2DDCE10,0000059F3BB6,FFFFFF01D3E2,FFFFFFE86505,000002D6DB79,FFFFFB1C997D,FFFFFF816194,FFFFFFFFE354,000001466FD4,000001218EB2,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
73,0000C1DC306F,FFFECE278CBA,000005BC21D2,FFFFFEFF24DA,FFFFFFE7F7D9,000002D2965C,FFFFFAB0CEA0,FFFFFF7FD53C,FFFFFFFFDF8B,000001457407,00000121910C,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
74,0000C027C92D,FFFEC9FE5A51,000005D2E014,FFFFFF03A110,FFFFFFEA31F2,0000026D8BC9,FFFFFB1485D5,FFFFFF81556A,FFFFFFFFE38E,0000014445B2,0000012189FE,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
75,0000C12174E0,FFFEC6CD11C7,000005E957D1,FFFFFF014194,FFFFFFE9AE1D,00000274350F,FFFFFB25DE09,FFFFFF819FB0,FFFFFFFFE466,000001425410,0000012192A9,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
76,0000C14F196E,FFFEC3A6BAA6,000005FE678F,FFFFFF00BC5D,FFFFFFE9E639,00000258CE0F,FFFFFA9EF542,FFFFFF7FAD55,FFFFFFFFDF8E,0000014173BB,000001219674,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
77,0000C14A33BF,FFFEBFB61189,00000614F025,FFFFFF0043C1,FFFFFFEA2B6E,00000233063B,FFFFFB49D0DB,FFFFFF823916,FFFFFFFFE641,000001403886,000001219875,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
78,0000C18750F7,FFFEBC0E52B1,0000062A6769,FFFFFEFF18B9,FFFFFFEA2EBB,00000219BE83,FFFFFB076EDC,FFFFFF814876,FFFFFFFFE401,0000013E4BDE,000001219A06,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
79,0000C0B1A404,FFFEB89F0BDB,0000063C7474,FFFFFF006E5A,FFFFFFEB0D09,000001CE776C,FFFFFAD60FD8,FFFFFF8097D7,FFFFFFFFE264,0000013C7A2B,000001219B4A,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
80,0000C12BAD21,FFFEB4D874D7,00000650E0A7,FFFFFEFE3FF4,FFFFFFEABA86,000001C35725,FFFFFB140447,FFFFFF8189FB,FFFFFFFFE4EF,0000013965F5,000001219DB3,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
81,0000C1BE29E9,FFFEB16A546E,0000066455A6,FFFFFEFC069B,FFFFFFEA5ED6,000001BECFAD,FFFFFB934F10,FFFFFF8371DC,FFFFFFFFE9EE,00000137D157,000001219FEF,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
82,0000C2A08029,FFFEAE04367B,000006785BEF,FFFFFEF921B1,FFFFFFE9C917,000001CB2A18,FFFFFB1C92B7,FFFFFF81BC43,FFFFFFFFE5AA,00000136F689,00000121A29B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
83,0000C23DDE17,FFFEAAC8ED47,000006896CE1,FFFFFEF8D0FF,FFFFFFEA29A1,000001966072,FFFFFB345E07,FFFFFF821ED3,FFFFFFFFE6C3,00000136D374,00000121A4DF,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
