Cycle 113: imm_x=0xFFFF42BFA6CC imm_y=0xFFFAE5EE0CC0 imm_z=0xFFFFED59B25A p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 114: imm_x=0xFFFF36D7F86D imm_y=0xFFFADCC56250 imm_z=0xFFFFED2ACFF0 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 115: imm_x=0xFFFF2BEB394A imm_y=0xFFFAD47511FF imm_z=0xFFFFEDEE1750 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 116: imm_x=0xFFFF20BC0850 imm_y=0xFFFACCD32C34 imm_z=0xFFFFED9CCBA8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 117: imm_x=0xFFFF14F0DEA9 imm_y=0xFFFAC50140A3 imm_z=0xFFFFED0B44CA p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 118: imm_x=0xFFFF0B449737 imm_y=0xFFFABD4FDB91 imm_z=0xFFFFECACFB77 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 119: imm_x=0xFFFF00985970 imm_y=0xFFFAB64AC821 imm_z=0xFFFFECCC9DA1 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 120: imm_x=0xFFFEF5BD2AE3 imm_y=0xFFFAAD74B930 imm_z=0xFFFFEC8B3EF1 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 121: imm_x=0xFFFEE9CECE6C imm_y=0xFFFAA4BE6DD1 imm_z=0xFFFFEBE023A3 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 122: imm_x=0xFFFEE005AE64 imm_y=0xFFFA9C5FB69A imm_z=0xFFFFEC017E7E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 123: imm_x=0xFFFED356D39B imm_y=0xFFFA950F331C imm_z=0xFFFFEB99CBFF p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 124: imm_x=0xFFFEC8AFA857 imm_y=0xFFFA8E7A9BB0 imm_z=0xFFFFEBFA317F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 125: imm_x=0xFFFEBE8DA5A7 imm_y=0xFFFA88CE5E4F imm_z=0xFFFFEBF9D4AC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 126: imm_x=0xFFFEB119AD16 imm_y=0xFFFA8143BB3D imm_z=0xFFFFEB809BFD p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 127: imm_x=0xFFFEA53F4066 imm_y=0xFFFA7A8A95F1 imm_z=0xFFFFEB9A0B77 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 128: imm_x=0xFFFE99EDFAFD imm_y=0xFFFA739E0227 imm_z=0xFFFFEB48A45D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 129: imm_x=0xFFFE8D9F504D imm_y=0xFFFA6D4E1963 imm_z=0xFFFFEB3B15EA p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 130: imm_x=0xFFFE7DCB40C2 imm_y=0xFFFA668637E0 imm_z=0xFFFFEB0BE831 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 131: imm_x=0xFFFE6DD3DEDB imm_y=0xFFFA5CA5AD40 imm_z=0xFFFFEA804816 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 132: imm_x=0xFFFE5BC52361 imm_y=0xFFFA53087892 imm_z=0xFFFFEA204F5B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 133: imm_x=0xFFFE4B15A7EC imm_y=0xFFFA4A529847 imm_z=0xFFFFEA48B439 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 134: imm_x=0xFFFE389BB67E imm_y=0xFFFA411A3BD5 imm_z=0xFFFFE9F8D29E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 135: imm_x=0xFFFE286646D6 imm_y=0xFFFA3869F99F imm_z=0xFFFFE9B0A5FE p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 136: imm_x=0xFFFE159074BF imm_y=0xFFFA2EAE4061 imm_z=0xFFFFE94ABFC2 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 137: imm_x=0xFFFE03ED36F8 imm_y=0xFFFA249A868A imm_z=0xFFFFE95A11E8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 138: imm_x=0xFFFDF2E1AC5B imm_y=0xFFFA1B6A8675 imm_z=0xFFFFE9CFCFF5 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 139: imm_x=0xFFFDE01936BB imm_y=0xFFFA126933E5 imm_z=0xFFFFE9394870 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 140: imm_x=0xFFFDCEF7E947 imm_y=0xFFFA0921236E imm_z=0xFFFFE912613D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 141: imm_x=0xFFFDBE60DB04 imm_y=0xFFF9FF9BAABE imm_z=0xFFFFE94F2B22 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 142: imm_x=0xFFFDAAE1512D imm_y=0xFFF9F6A5E676 imm_z=0xFFFFE9051F41 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
