Cycle 80: imm_x=0x0000C0D6B3C3 imm_y=0xFFFEB0676152 imm_z=0xFFFFFB30448B p_ca=0x000000812393 p_si=0x000000039757 p_bi=0x0000007B4516
Cycle 81: imm_x=0x0000C118E44C imm_y=0xFFFEAC428A4C imm_z=0xFFFFFBB3743F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 82: imm_x=0x0000C2019C3D imm_y=0xFFFEA9120319 imm_z=0xFFFFFB3CF1C7 p_ca=0x0000001F2639 p_si=0x000000DE4A6B p_bi=0x000000028F5C
Cycle 83: imm_x=0x0000C0FA41C5 imm_y=0xFFFEA5FC65C3 imm_z=0xFFFFFB495ECE p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 84: imm_x=0x0000C08CE68F imm_y=0xFFFEA3419FE1 imm_z=0xFFFFFB6B581C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 85: imm_x=0x0000C0B7A281 imm_y=0xFFFEA057E1A4 imm_z=0xFFFFFB96437B p_ca=0x000000028F5C p_si=0x000000FA3C80 p_bi=0x000000033424
Cycle 86: imm_x=0x0000C21BACED imm_y=0xFFFE9E11A694 imm_z=0xFFFFFB8FA00A p_ca=0x0000000D6507 p_si=0x0000008AA88F p_bi=0x00000067F26A
Cycle 87: imm_x=0x0000C1FA813A imm_y=0xFFFE98D610CF imm_z=0xFFFFFB631F9D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 88: imm_x=0x0000C17D0F8C imm_y=0xFFFE94644646 imm_z=0xFFFFFB22FE2B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 89: imm_x=0x0000C20C2EA6 imm_y=0xFFFE8E2C068A imm_z=0xFFFFFB370680 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 90: imm_x=0x0000C200031E imm_y=0xFFFE8823B52D imm_z=0xFFFFFAF1F4FC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 91: imm_x=0x0000C2957E45 imm_y=0xFFFE828B2BFE imm_z=0xFFFFFA3C6BB9 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 92: imm_x=0x0000C30D8B33 imm_y=0xFFFE7B79F2A3 imm_z=0xFFFFFAF256E5 p_ca=0x000000028F5C p_si=0x0000003F6BD6 p_bi=0x000000BE04CE
Cycle 93: imm_x=0x0000C1CF7F57 imm_y=0xFFFE75D4826D imm_z=0xFFFFFB3095C3 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 94: imm_x=0x0000C1C16547 imm_y=0xFFFE6FCF2113 imm_z=0xFFFFFA865C18 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
